2023-05-04:14:38:05,460, Crawling next site: https://www.wtatennis.com/tournaments
2023-05-04:14:38:05,553, Finished crawling a site with 0 distinct players mentioned and 229 hyperlinks.
2023-05-04:14:38:05,553, Crawling next site: https://www.wtatennis.com/tournaments
2023-05-04:14:38:05,708, Finished crawling a site with 0 distinct players mentioned and 229 hyperlinks.
2023-05-04:14:38:05,708, Crawling next site: https://www.wtatennis.com/videos
2023-05-04:14:38:05,762, Finished crawling a site with 0 distinct players mentioned and 229 hyperlinks.
2023-05-04:14:38:05,763, Crawling next site: https://www.wtatennis.com/videos
2023-05-04:14:38:05,965, Finished crawling a site with 24 distinct players mentioned and 129 hyperlinks.
2023-05-04:14:38:05,966, Crawling next site: https://www.wtatennis.com/videos
2023-05-04:14:38:06,040, Finished crawling a site with 24 distinct players mentioned and 129 hyperlinks.
2023-05-04:14:38:06,041, Crawling next site: https://www.wtatennis.com/wta-finals
2023-05-04:14:38:06,233, Finished crawling a site with 24 distinct players mentioned and 129 hyperlinks.
2023-05-04:14:38:06,233, Crawling next site: https://www.wtatennis.com/wta-finals
2023-05-04:14:38:06,401, Finished crawling a site with 12 distinct players mentioned and 139 hyperlinks.
2023-05-04:14:38:06,402, Crawling next site: https://www.wtatennis.com/wta-insider
2023-05-04:14:38:06,510, Finished crawling a site with 12 distinct players mentioned and 139 hyperlinks.
2023-05-04:14:38:06,510, Crawling next site: https://www.wtatennis.com/wta-insider
2023-05-04:14:38:06,730, Finished crawling a site with 9 distinct players mentioned and 116 hyperlinks.
2023-05-04:14:38:06,731, Crawling next site: https://www.wtatennis.com/wta-rules
2023-05-04:14:38:06,744, Finished crawling a site with 9 distinct players mentioned and 116 hyperlinks.
2023-05-04:14:38:06,744, Crawling next site: https://www.youtube.com/user/wta
2023-05-04:14:38:06,907, Finished crawling a site with 0 distinct players mentioned and 106 hyperlinks.
2023-05-04:14:38:06,908, Crawling next site: https://twitter.com/WTA
2023-05-04:14:38:07,139, Finished crawling a site with 0 distinct players mentioned and 15 hyperlinks.
2023-05-04:14:38:07,140, Crawling next site: https://weibo.com/wta
2023-05-04:14:38:07,455, Finished crawling a site with 0 distinct players mentioned and 6 hyperlinks.
2023-05-04:14:38:07,455, Crawling next site: https://wtacharities.wtatennis.com/
2023-05-04:14:38:08,506, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:38:08,506, Crawling next site: https://wtacharities.wtatennis.com/
2023-05-04:14:38:09,034, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:38:09,035, Crawling next site: https://wtt.com/
2023-05-04:14:38:10,374, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:38:10,374, Crawling next site: https://www.atptour.com/
2023-05-04:14:38:10,484, Finished crawling a site with 0 distinct players mentioned and 102 hyperlinks.
2023-05-04:14:38:10,484, Crawling next site: https://www.atptour.com/en/privacy-policy
2023-05-04:14:38:10,794, Finished crawling a site with 1 distinct players mentioned and 186 hyperlinks.
2023-05-04:14:38:10,797, Crawling next site: https://www.billiejeankingcup.com/en/home.aspx
2023-05-04:14:38:10,826, Finished crawling a site with 1 distinct players mentioned and 140 hyperlinks.
2023-05-04:14:38:10,828, Crawling next site: https://www.facebook.com/WTA
2023-05-04:14:38:10,889, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:38:10,890, Crawling next site: https://www.facebook.com/WTA
2023-05-04:14:38:11,043, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:38:11,043, Crawling next site: https://www.hologic.com/
2023-05-04:14:38:11,108, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:38:11,109, Crawling next site: https://www.instagram.com/wta/
2023-05-04:14:38:11,387, Finished crawling a site with 0 distinct players mentioned and 166 hyperlinks.
2023-05-04:14:38:11,387, Crawling next site: https://www.itftennis.com/home.aspx
2023-05-04:14:38:11,451, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:38:11,452, Crawling next site: https://www.itia.tennis/
2023-05-04:14:38:12,050, Finished crawling a site with 1 distinct players mentioned and 58 hyperlinks.
2023-05-04:14:38:12,051, Crawling next site: https://www.modernhealth.com/
2023-05-04:14:38:12,061, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:38:12,061, Crawling next site: https://www.morganstanley.com/articles/wta-partnership-2023
2023-05-04:14:38:12,333, Finished crawling a site with 0 distinct players mentioned and 91 hyperlinks.
2023-05-04:14:38:12,333, Crawling next site: https://www.sap.com/index.html?campaigncode=CRM-XH21-OSP-WTASpon
2023-05-04:14:38:12,432, Finished crawling a site with 2 distinct players mentioned and 100 hyperlinks.
2023-05-04:14:38:12,434, Crawling next site: https://www.teamworkonline.com/golf-tennis-jobs/protennisjobs/wta?employment_opportunity_search%5Bquery%5D=&employment_opportunity_search%5Bcategory_id%5D=&employment_opportunity_search%5Borganization_id%5D=29707&employment_opportunity_search%5Bcareer_level_id%5D=
2023-05-04:14:38:12,546, Finished crawling a site with 0 distinct players mentioned and 50 hyperlinks.
